Order ID,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Amount Refunded,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Lineitem variant,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Address1,Billing Address2,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Address1,Shipping Address2,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Cancelled at,Private Notes,Channel Type,Channel Name,Channel Order Number,WA Local Tax,WA Tax,Payment Method,Payment Reference
250001,a@this.org,PAID,1/2/2025 11:46,pending,,USD,30,0,1.98,0,31.98,,0,Evergreen State Fairgrounds,1/2/2025 11:46,3,"Canada Goldenrod - Solidago lepida, bundle of 5",10,SQ5369851,,TRUE,TRUE,pending,John Smith,1234 Street St,,City,98258,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250001,0.03,1.95,Stripe,ch_3QcrXlKpMPwwSZJQ15LwCCDL
250002,b@what.com,PAID,1/6/2025 12:00,pending,,USD,43,0,2.84,0,45.84,,0,Evergreen State Fairgrounds,1/6/2025 12:00,1,"Evergreen Huckleberry - Vaccinium ovatum, bundle of 5",43,SQ9912388,,TRUE,TRUE,pending,Two Two,1234 Street St,,City,98223,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250002,0.04,2.8,Stripe,ch_3QeJfiKpMPwwSZJQ1Dac1mdT
250003,c@hi.net,PAID,1/6/2025 12:01,pending,,USD,79,0,5.22,0,84.22,,0,Evergreen State Fairgrounds,1/6/2025 12:01,1,"Oregon Sunshine - Eriophyllum lanatum, bundle of 5",10,SQ5173931,,TRUE,TRUE,pending,Three Three,1234 Street St,Apt 212,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250003,0.08,5.14,Stripe,ch_3QeJfsKpMPwwSZJQ1TaUAPOs
250003,,,,,,,,,,,,,,,,1,"Henderson's Checkermallow - Sidalcea hendersonii, bundle of 5",10,SQ8965381,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250003,,,,,,,,,,,,,,,,1,"Menzies' Larkspur  - Delphinium menziesii, bundle of 5",29,SQ4534372,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250003,,,,,,,,,,,,,,,,1,"Lupine - Lupinus polyphyllus, Bundle of 5",10,SQ5811562,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250003,,,,,,,,,,,,,,,,1,"Vanilla Leaf - Achlys triphylla, bundle of 5",20,SQ7467987,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250004,hello@htis.org,PAID,1/6/2025 12:01,pending,,USD,274,0,18.06,0,292.06,,0,Evergreen State Fairgrounds,1/6/2025 12:01,2,"Inside-out Flower - Vancouveria hexandra, bundle of 5",29,SQ5677685,,TRUE,TRUE,pending,Four Four,1234 Street St,,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250004,0.25,17.81,Stripe,ch_3QeJfwKpMPwwSZJQ1FfOdmfc
250004,,,,,,,,,,,,,,,,2,"Deer Fern - Blechnum spicant, bundle of 5",30,SQ4762897,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250004,,,,,,,,,,,,,,,,1,"Kinnikinnick - Arctostaphylos uva-ursi, bundle of 5",24,SQ3069748,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250004,,,,,,,,,,,,,,,,2,"Henderson's Checkermallow - Sidalcea hendersonii, bundle of 5",10,SQ8965381,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250004,,,,,,,,,,,,,,,,2,"Maidenhair Fern - Adiantum aleuticum, bundle of 5",31,SQ6734546,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250004,,,,,,,,,,,,,,,,1,"Rhododendron - Rhododendron macrophyllum, bundle of 5",50,SQ1421730,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250005,se@oiwer.com,PAID,1/6/2025 12:01,pending,,USD,27,0,1.79,0,28.79,,0,Evergreen State Fairgrounds,1/6/2025 12:01,1,"Goats Beard - Aruncus dioicus, bundle of 5",10,SQ3173644,,TRUE,TRUE,pending,Five Five,1234 Street St,,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250005,0.03,1.76,Stripe,ch_3QeJg0KpMPwwSZJQ0ayiD5Ra
250005,,,,,,,,,,,,,,,,1,"Chokecherry - Prunus virginiana, bundle of 5",17,SQ1381395,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250006,jehtoiwer@fnoiwe.net,PAID,1/6/2025 12:01,pending,,USD,43,0,2.84,0,45.84,,0,Evergreen State Fairgrounds,1/6/2025 12:01,1,"Evergreen Huckleberry - Vaccinium ovatum, bundle of 5",43,SQ9912388,,TRUE,TRUE,pending,Six Six,1234 Street St,,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250006,0.04,2.8,Stripe,ch_3QeJgFKpMPwwSZJQ0zub97iT
250007,jierlwk@fjkl.org,PAID,1/6/2025 12:01,pending,,USD,51,0,3.37,0,54.37,,0,Evergreen State Fairgrounds,1/6/2025 12:01,3,"Grape (Tall Oregon) - Mahonia aquifolium, bundle of 5",17,SQ3546273,,TRUE,TRUE,pending,Seven Seven,1234 Street St,,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250007,0.05,3.32,Stripe,ch_3QeJgWKpMPwwSZJQ12ght5TI
250008,fnhwloiejr@nowiejrh.com,PAID,1/6/2025 12:01,pending,,USD,49,0,3.25,0,52.25,,0,Evergreen State Fairgrounds,1/6/2025 12:01,1,"Ninebark - Physocarpus capitatus, bundle of 5",17,SQ3771845,,TRUE,TRUE,pending,Eight Eight,1234 Street St,,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250008,0.05,3.2,Stripe,ch_3QeJgdKpMPwwSZJQ1WKI1Hoy
250008,,,,,,,,,,,,,,,,1,"Flowering Currant (Red) - Ribes sanguineum, bundle of 5",15,SQ1111364,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250008,,,,,,,,,,,,,,,,1,"Serviceberry - Amelanchier alnifolia, bundle of 5",17,SQ8797151,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
250009,lweikrj@woierj.net,PAID,1/6/2025 12:02,pending,,USD,176,0,11.64,0,187.64,,0,Evergreen State Fairgrounds,1/6/2025 12:02,1,"Sweet Gale - Myrica gale, bundle of 5",23,SQ2473841,,TRUE,TRUE,pending,Nine Nine,1234 Street St,,City,90000,WA,United States,425-535-0530,,,,,,,,,,,ONLINE,Squarespace,250009,0.18,11.46,Stripe,ch_3QeJgnKpMPwwSZJQ0fEEBVC4
250009,,,,,,,,,,,,,,,,1,"Raspberry (Blackcap) - Rubus leucodermis, bundle of 5",21,SQ8107792,,TRUE,TRUE,pending,,,,,,,,,,,,,,,,,,,,,,,,,
